country,prct_env_satis_high,prct_env_satis_med,prct_env_satis_low,prct_leisure_satis_high,prct_leisure_satis_med,prct_leisure_satis_low,prct_life_satis_high,prct_life_satis_med,prct_life_satis_low,legal_trust_rating,police_trust_rating,political_trust_rating
Iceland,29.2,56.6,14.2,35,43,22,38.1,52.4,9.5,5.7,6,3.7
Switzerland,41.8,46.2,12,25.8,46.7,27.5,38.5,53.5,8,7,5.7,6.6
Turkey,18.3,42.3,39.5,12.2,36.4,51.5,11.1,38.6,50.3,5.4,6.3,4.9
Belgium,22.2,70.3,7.5,21.5,60.6,17.9,20.9,69.9,9.2,5,6.1,4.6
Bulgaria,8.4,32.6,59,14.6,33.9,51.5,5.9,29.8,64.2,3,6.6,2.6
Czechia,33.5,48.7,17.8,24.3,44.1,31.5,21.3,53.3,25.4,3.8,7.2,3.7
Denmark,52.2,36.9,10.9,41.4,40.9,17.7,42.7,46.6,10.6,7.5,5.2,5.9
Germany,40.9,43.1,15.9,24.2,42.5,33.3,25,55.8,19.2,5.3,5.4,4.9
Estonia,18.1,53.4,28.5,22.2,44.9,33,13.5,52.1,34.4,5.2,6.4,4.4
Ireland,43.7,46.2,10.1,29.1,42.3,28.6,30.6,52.7,16.7,5.1,5.5,3.2
Greece,18.3,45.2,36.5,11.6,52.2,36.2,12.8,51.8,35.5,4.1,4.4,2
Spain,23.7,58.9,17.4,21.2,49,29.7,18.4,58.4,23.2,3.1,8.2,1.9
Croatia,22.4,37.9,39.7,24.5,42.1,33.4,15,49.5,35.4,3.3,6.4,2.8
Italy,11,53.5,35.5,13.8,58.2,28,14.2,63,22.7,3.6,3.6,2.1
Cyprus,13.4,49.3,37.3,24,48,28.1,14.2,48.8,37,3.6,7.7,2.6
Latvia,26.2,54.7,19.1,21.4,57.8,20.8,12.6,56.6,30.8,4.5,7.5,3.6
Lithuania,42.1,44.9,13,22,52.4,25.6,18.8,53.3,27.9,4.9,7.4,4.5
Luxembourg,33.9,56.9,9.2,30,47.5,22.5,25.7,59.5,14.8,5.3,6.5,5
Hungary,15.8,51.9,32.3,15.4,49.4,35.2,11.3,50.2,38.5,5.1,4.9,4.5
Malta,31,46.3,22.7,23.6,46.1,30.3,21.9,57.7,20.4,4.9,7.9,5.7
Netherlands,31.3,64.7,4,18.9,75.2,5.9,26.1,68.3,5.6,6.2,6.4,5.5
Austria,57.2,33.3,9.5,35.3,41.4,23.3,37.9,49.3,12.9,6,6,4.4
Poland,39.7,42,18.2,27.8,42.3,29.9,29.4,50.7,19.9,4.2,6.9,3.5
Portugal,19.6,42.6,37.8,23.9,40.6,35.5,13.8,45.7,40.5,2.9,5,1.7
Romania,29.1,55.8,15,18,59.6,22.4,19.7,63.7,16.7,5.8,5.4,4.8
Slovenia,42.3,40.1,17.6,24.7,45.7,29.6,20.4,55.2,24.4,2.7,5.6,1.8
Slovakia,22.8,48.9,28.3,26.6,44,29.4,25,48.6,26.4,3.6,6.106451613,3.5
Finland,34.7,56.3,9,35.9,51.6,12.5,38.6,55.5,6,7.2,5.8,6
Sweden,34.7,51,14.4,33.2,44.9,21.9,34.4,56.6,9,6.7,4.7,5.5
United Kingdom,38.2,50.6,11.3,29,41.7,29.3,27.8,53.2,19.1,5.5,5.4,3.8
